ViewPage,Title,Company,Location,Metadata,Summary
https://uk.indeed.com/viewjob?jk=46465a5d5565b2d9,Platform Engineer,Origami Energy,Remote,,Our platform handles real-time streaming data from a large number of diverse data sources to provide clear insight and support decision making through powerful…
https://uk.indeed.com/viewjob?jk=a21d2930d0f8aa75,Platform Engineering Manager,Origami,Cambridge CB4,Full-time,"Origami’s open cloud platform handles real-time streaming data from a large number of diverse data sources to provide time-critical insights, decision-making…"
https://uk.indeed.com/viewjob?jk=0ce4df67f27959a9,Senior DevSecOps Engineer,Sky,Osterley,Full-time,"Responsible for building, configuring, deploying, maintaining and managing a variety of security tools, e.g., code scanning, cloud config scanning and container…"
https://uk.indeed.com/viewjob?jk=4cdda69178e24de6,Software Engineer,XTX Markets,London,,"Interface with our Quant Researchers to design & build software for our research cluster (100,000 CPUs / 6,000 GPU’s and growing)."
https://uk.indeed.com/viewjob?jk=67b1eb4d34c70e1f,NodeJS Developer,Couchbase,Manchester,Full-time,"The developer advocacy team creates interesting developer-focused content, tutorials, frameworks, and third-party integrations to expand Couchbase’s ecosystem."
https://uk.indeed.com/viewjob?jk=7e1f25c25bc0e6db,Software Engineer General Interest,Neo4j,London,Full-time,"Our engineers regularly work with peers in field engineering and experience the full lifecycle of the systems they build.
 Language design and type systems."
https://uk.indeed.com/viewjob?jk=9ea779eaef9b68b3,Practice Lead/CC Lead,Shell,London,,You will be responsible to support in driving the vision for software engineering technologies and processes across Shell and leading high-performance…
https://uk.indeed.com/viewjob?jk=56b8f6737fba680e,"Software Developer, Go",bet365,Hybrid remote in Manchester,Full-time,A Full Stack Software Developer who will work in a small team of talented developers following agile practices to develop high quality scalable solutions.
https://uk.indeed.com/viewjob?jk=d0e65585a509b699,Platform & Services Engineer,Improbable,Remote,Permanent,"You will be part of the Metaverse Solutions group, the premier organisation for servicing and solving the problems of our metaverse."
https://uk.indeed.com/viewjob?jk=8c33645ead88b870,Software Engineer 3 - Belfast,Juniper Networks,Belfast BT1,,"You will work as part of a team creating cloud scalable software solutions.
 You will participate in the complete product lifecycle in the area of network…"
https://uk.indeed.com/viewjob?jk=e2a6b71fb587bab3,Python Engineer - Colleague & Operations,Sainsburys,London EC1N,Permanent +2,"Brilliant customer experiences at this kind of pace, require fresh and appealing products to be available whenever and however our customers shop with us."
https://uk.indeed.com/viewjob?jk=0ba97cb23f5b13f2,DevOps Engineer,Shift F5,Remote in London,"£40,000 - £60,000 a yearPermanent","AWS (IAM, VPCs, Subnets, EC2, RDS, Route53)."
https://uk.indeed.com/viewjob?jk=688306b06384aacd,Blockchain Integration Specialist (Remote),Bitfinex,Remote,Full-time,"Build, improve and maintain clusters of blockchain daemons/consensus nodes in a scalable and highly redundant way.
 Ability to quickly learn new technologies."
https://uk.indeed.com/viewjob?jk=473956df42a2faa0,Graduate Software Engineer,Oho Group,Hybrid remote in London,"£30,000 - £40,000 a yearPermanent","As a graduate software engineer, you'll be working in the Cybersecurity sector alongside a worldclass team of individuals, using primarily golang."
https://uk.indeed.com/viewjob?jk=3350fd18a1bb0fca,Backend Developer Python / Golang,Client Server,Remote in London,"£75,000 - £90,000 a yearPermanent","As a Backend Developer, you will design and develop new features and functionality for the core cyber platform, expanding out the cyber security services and…"
https://uk.indeed.com/viewjob?jk=cbe32392b2b00a84,Mid to senior level software engineer(s),Snaptrip,Remote in London,,"Dependent on experience but generous.
 Lead many Ruby/RoR initiatives, drive adoption of best practices and help us build up Ruby/RoR expertise."
https://uk.indeed.com/viewjob?jk=860d763d9ac4c385,Infrastructure Specialist: Cloud Platforms,IBM,Leicester,Full-time,Our Infrastructure Specialists are responsible for keeping up with these latest and greatest of these changes and using their expertise to deliver solutions…
https://uk.indeed.com/viewjob?jk=c0af67bb3aa2704d,Software Engineering Manager - Ubuntu Linux Kernel,Canonical,Remote in Douglas,,"These teams handle upstream development and the expression of new kernel capabilities in Ubuntu, they work with silicon and cloud partners to optimise the…"
https://uk.indeed.com/viewjob?jk=fbb4ad2581c0d2d1,Systems Engineer III,CME Group,London,,"The Systems Engineer III combines software development, networking and system engineering expertise to build and run large-scale, distributed, fault-tolerant…"
https://uk.indeed.com/viewjob?jk=f84c2adfec7561be,Head of Computer Vision & Engineering,Harnham,London,"£80,000 - £100,000 a yearPermanent","Head of Computer Vision & Engineering.
 Up to £100,000 + equity.
 TECH STACK: Python, C++, AWS, Git, CI/CD.
 This company is working on a lot of interesting R&D…"
https://uk.indeed.com/viewjob?jk=6a3b9f9f28483385,General Software Engineer,XTX Markets,London,,"In 2021, our UK entities reported revenues of £1.477bn, with net profit of £667m.
 Interface with our Quant Researchers to design & build software for our…"
https://uk.indeed.com/viewjob?jk=18473f40d06d6b25,Senior Software Engineer,LSEG (London Stock Exchange Group),London,Full-time,"Right now, Labs is working on AI, Big Data and Blockchain - performing graph-based risk analysis, turning text into risk signals, using ML (Machine Learning) to…"
